# tracer: function
#
# function latency trace v1.1.5 on 2.6.39
# --------------------------------------------------------------------
# latency: 0 us, #59981/96762, CPU#0 | (M:preempt VP:0, KP:0, SP:0 HP:0 #P:1)
#    -----------------
#    | task: -0 (uid:0 nice:0 policy:0 rt_prio:0)
#    -----------------
#
#                  _------=> CPU#            
#                 / _-----=> irqs-off        
#                | / _----=> need-resched    
#                || / _---=> hardirq/softirq 
#                ||| / _--=> preempt-depth   
#                |||| /     delay             
#  cmd     pid   ||||| time  |   caller      
#     \   /      |||||  \    |   /           
      sh-1       0d..1 25361083us+: _raw_spin_unlock_irqrestore <-__wake_up
      sh-1       0.... 25361088us+: mutex_unlock <-tty_set_termios
      sh-1       0.... 25361094us+: tty_ldisc_deref <-tty_ioctl
      sh-1       0.... 25361097us+: put_ldisc <-tty_ldisc_deref
      sh-1       0.... 25361101us+: __wake_up <-put_ldisc
      sh-1       0.... 25361104us+: _raw_spin_lock_irqsave <-__wake_up
      sh-1       0d..1 25361108us+: __wake_up_common <-__wake_up
      sh-1       0d..1 25361111us+: _raw_spin_unlock_irqrestore <-__wake_up
      sh-1       0.... 25361120us+: sys_ioctl <-sysenter_do_call
      sh-1       0.... 25361123us+: fget_light <-sys_ioctl
      sh-1       0.... 25361128us+: security_file_ioctl <-sys_ioctl
      sh-1       0.... 25361132us+: selinux_file_ioctl <-security_file_ioctl
      sh-1       0.... 25361135us+: file_has_perm <-selinux_file_ioctl
      sh-1       0.... 25361140us+: inode_has_perm <-file_has_perm
      sh-1       0.... 25361144us+: avc_has_perm_flags <-inode_has_perm
      sh-1       0.... 25361148us+: avc_has_perm_noaudit <-avc_has_perm_flags
      sh-1       0.... 25361151us+: __rcu_read_lock <-avc_has_perm_noaudit
      sh-1       0.... 25361173us+: __rcu_read_unlock <-avc_has_perm_noaudit
      sh-1       0.... 25361177us+: avc_audit <-avc_has_perm_flags
      sh-1       0.... 25361182us+: do_vfs_ioctl <-sys_ioctl
      sh-1       0.... 25361185us+: tty_ioctl <-do_vfs_ioctl
      sh-1       0.... 25361188us+: tty_paranoia_check <-tty_ioctl
      sh-1       0.... 25361194us+: uart_ioctl <-tty_ioctl
      sh-1       0.... 25361198us+: mutex_lock <-uart_ioctl
      sh-1       0.... 25361203us+: mutex_unlock <-uart_ioctl
      sh-1       0.... 25361206us+: tty_ldisc_ref_wait <-tty_ioctl
      sh-1       0.... 25361209us+: tty_ldisc_try <-tty_ldisc_ref_wait
      sh-1       0.... 25361212us+: _raw_spin_lock_irqsave <-tty_ldisc_try
      sh-1       0d..1 25361218us+: _raw_spin_unlock_irqrestore <-tty_ldisc_try
      sh-1       0.... 25361222us+: n_tty_ioctl <-tty_ioctl
      sh-1       0.... 25361225us+: n_tty_ioctl_helper <-n_tty_ioctl
      sh-1       0.... 25361228us+: tty_mode_ioctl <-n_tty_ioctl_helper
      sh-1       0.... 25361234us+: copy_termios <-tty_mode_ioctl
      sh-1       0.... 25361237us+: mutex_lock <-copy_termios
      sh-1       0.... 25361241us+: mutex_unlock <-copy_termios
